type,id,en_description,zh_description
Word,w15,AFP levels,AFP水平
Word,w15,AND/OR,和/或
Word,w33,Abdominal pain,​腹痛
Word,w3,Ablation Techniques,消融术
Word,w5,Abortion,流产
Word,w7,Acinar,腺泡状
Word,w16,Acute hepatitis,急性肝炎
Word,w26,Adjuvant oxaliplatin,奥沙利铂辅助化疗
Word,w10,Advanced age,老年
Word,w6,Aflibercept,阿柏西普​
Word,w6,Air pollution,空气污染
Word,w20,Alagille syndrome,先天性肝内胆管发育不良综合征（Alagille综合征）
Word,w1,Alcohol,饮酒
Word,w1,Alpha-fetoprotein,甲胎蛋白
Word,w21,Analysis: Evaluation,分析方法：评估分析法
Word,w13,Analysis: Follow-up,分析方法：随访分析法
Word,w7,Anastrozole,阿那曲唑
Word,w5,Anatomy,​解剖学
Word,w15,Annual,每年一次
Word,w2,Anorexia,食欲下降
Word,w1,Anxiety,​焦虑
Word,w2,Any,任何
Word,w1,Aspirin,阿司匹林
Word,w17,Associated Disorder,相关疾病
Word,w50,Atypical carcinoid,不典型类癌
Word,w6,Authors,作者
Word,w12,Background,​背景
Word,w35,Barium Enema,钡灌肠
Word,w2,Basal-like,基底细胞样型
Word,w18,Basaloid,基底细胞样
Word,w56,Basaloid carcinoma,基底细胞样癌
Word,w3,Beckwith-Wiedemann,Beckwith-Wiiedemann综合征
Word,w7,Benefits,​获益
Word,w24,Better tolerability,提高患者的耐受性
Word,w4,Bevacizumab,贝伐单抗​
Word,w8,Bias,偏倚
Word,w1,Biennial,每2年一次
Word,w10,Bile acids,胆汁酸
Word,w29,Biliary Obstruction,胆道梗阻
Word,w8,Bisphosphonates,双磷酸盐
Word,w47,Breast Reconstruction,乳房再造
Word,w16,Breast Self-examination,​乳腺自我检查
Word,w29,Breast reconstruction,乳房再造
Word,w4,Breast-feeding,哺乳
Word,w57,Bronchioloalveolar carcinoma,细支气管肺泡癌
Word,w20,Burkitt lymphoma,Burkitt淋巴瘤
Word,w22,CT Colonography,CT结肠成像
Word,w43,CT imaging,CT成像
Word,w5,Calcium,钙剂
Word,w15,Calcium supplementation,钙剂补充
Word,w13,Capecitabine,卡培他滨
Word,w1,Capecitabine,卡培他滨​
Word,w61,Carcinoid tumor,类癌
Word,w12,Carcinosarcoma,癌肉瘤
Word,w25,Case-control studies,病例对照研究
Word,w2,Cataracts,白内障
Word,w27,Cellular Classification,细胞学分类
Word,w4,Cellular classification--legacy,细胞学分类--后遗效应
Word,w24,Cellular classification--legacy,细胞学分类—legacy
Word,w9,Cetuximab,西妥昔单抗​
Word,w3,Cetuximab,西妥昔单抗
Word,w6,Chemoradiation alone,单纯放化疗方案
Word,w58,Chemoradiation therapy,放化疗
Word,w54,Chemotherapy risks,化疗风险
Word,w20,Chest pain,胸痛
Word,w27,Chest x-ray,X线胸片
Word,w23,Chest x-ray,胸片
Word,w2,China,中国
Word,w46,Clear cell,透明细胞
Word,w14,Clinical Consequences,临床结果
Word,w9,Clinical trials,临床试验
Word,w16,Colonoscopy,结肠镜
Word,w14,Combination chemotherapy,联合化疗
Word,w45,Combined LCNEC,混合LCNEC
Word,w3,Computed Tomography,计算机断层扫描
Word,w13,Consistency,一致性
Word,w13,Consistency: Consistent,一致性：一致
Word,w7,Consistency: Fair,一致性：一般
Word,w26,Consistency: Mixed,一致性：混合
Word,w16,Consistency: N/A,一致性：不适用
Word,w17,Contamination: None,干扰：无
Word,w42,Contralateral Disease,同侧乳腺癌
Word,w14,Control,对照组
Word,w32,Cytotoxic chemotherapy,细胞毒性化疗
Word,w20,Cytoxan (mg/m²),环磷酰胺（mg/m²）
Word,w2,C—Caudate,C-尾叶
Word,w3,"Deaths: 10,990","死亡病例数：10,990例"
Word,w4,"Deaths: 15,210","死亡病例数：15,210例"
Word,w40,"Deaths: 159,260","死亡病例数：159,260例"
Word,w17,"Deaths: 159,260","死亡病例：159,260例"
Word,w35,"Deaths: 40,430","​死亡病例数：40,430"
Word,w4,Deaths: 410,死亡病例：410例
Word,w8,Denmark,丹麦
Word,w2,Description,描述
