English_Term,Chinese_Term
100% for PRETEXT stage 1,PRETEXT 1期：100%
22% for PRETEXT stage 3,PRETEXT 3期：22%
25% for patients with metastasis,有转移癌的患儿：25%
44% for PRETEXT stage 1,PRETEXT 1期：44%
44% for PRETEXT stage 2,PRETEXT 2期：44%
57% for PRETEXT stage 4,PRETEXT 4期：57%
61% for PRETEXT stage 4,PRETEXT 4期：61%
68% for PRETEXT stage 3,PRETEXT 3期：68%
8% for PRETEXT stage 4,PRETEXT 4期：8%
84% for PRETEXT stage 3,PRETEXT 3期：84%
91% for PRETEXT stage 2,PRETEXT 2期：91%
95% for PRETEXT stage 2,PRETEXT 2期：95%
A clinical trial,参加临床试验
A high mitotic count,核分裂象增多
A poorly differentiated histology,组织学分化较差
A radionuclide bone scan,放射性核素骨显像
A second trial (IBIS-2) is under way,第二项类似试验（IBIS-2）正在进行之中
A thorough physical examination,全面的体格检查
"A total of 8,171 women were enrolled","总计纳入8,171例女性"
AJCC Stage Groupings and TNM Definitions,AJCC分期分组与TNM定义
"AKT1, present in 1% of tumors",AKT1，见于1%的肿瘤
Ablation of Barrett Esophagus With Dysplasia,不典型增生的Barrett食管消融术
About 60%–70% for left colon,对左半结肠约60%-70%
Absent or inconspicuous nucleoli,核仁缺失或不明显
Active and passive cigarette smoking,主动与被动吸烟
Adapted from Altekruse et al,改编自Altekruse et al.
Adapted from Nicol et al,引用Nicol et al.
Adapted from Russo et al,数据源自Russo et al.
Added Aflibercept as a new subsection,添加“阿柏西普​”章节
Added Pertuzumab as a new subsection,增添内容：帕妥珠单抗章节
Added Third-line chemotherapy as a new subsection,添加“三线化疗”章节
Addition of radiation therapy,添加放疗
Adenocarcinoma (40% of lung cancers),腺癌（40%的肺癌）
Adenocarcinoma (most colon cancers),腺癌（多数结肠癌）
Adenocarcinoma with mixed subtypes,腺癌混合亚型
Adenoid cystic carcinoma,腺样囊性癌
Adherence to or invasion of adjacent organs,粘连或浸润毗邻器官
Adjuvant Systemic Therapy,辅助全身治疗
Adjuvant chemoradiation therapy,辅助放化疗
Adjuvant chemotherapy following chemoradiation therapy and surgery,放化疗和手术后的辅助化疗
Adjuvant radiation and chemotherapy,辅助放疗与化疗
Adult Hodgkin Lymphoma Treatment,成人霍奇金淋巴瘤的治疗
Adult Primary Liver Cancer (PDQ®): Treatment,成人原发性肝癌（PDQ®）：治疗
Adult Soft Tissue Sarcoma Treatment,成人软组织肉瘤的治疗
Age at Diagnosis,诊断年龄
Age at entry: 39 to 41 years,入组年龄：39到41岁
Age at entry: 39 to 59 years,入组年龄：39到59岁
Age at entry: 40 to 49 years,入组年龄：40到49岁
Age at entry: 40 to 64 years,入组年龄：40到64岁
